Ekspresi,Gendre,Artist,Lagu,Tahun,spotify_uri
Bahagia,R&B,Taylor swift,Paper Rings,2019,spotify:track:4y5bvROuBDPr5fuwXbIBZR
Bahagia,Classical,Mahalini,Sial,2023,spotify:track:6O0WEM0QNEhqpU50BKui7o
Bahagia,Pop,Nadhif Basalamah,Penjaga hati,2023,spotify:track:7F4tV8SiUy6itZTdAzdafO
Bahagia,Pop,Demi Lovato,Heart Attack,2013,spotify:track:1V6gIisPpYqgFeWbMLI0bA
Bahagia,Pop,Nadin Amizah,Sorai,2019,spotify:track:3ymuBMTviroWLuf1jMsMVf
Bahagia,Pop,sleep shelter,when you come around,2022,spotify:track:5xDgTBQkArkOPwIAN1HWqZ
Bahagia,Pop,Grrrl Gang,Love Song,2021,spotify:track:24GzZhuO5eYkG2lypqtoe9
Bahagia,R&B,Taylor swift,Cruel Summer,2019,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr
Bahagia,Classical,Anggi marito,Tak segampang itu,2022,spotify:track:26cvTWJq2E1QqN4jyH2OTU
Bahagia,Pop,Fiersa besari,Garis waktu,2016,spotify:track:3rgw2SuhrikNzyd8pKL09s
Bahagia,Pop,Taylor Swift,August,2020,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K
Bahagia,Pop,the upstairs,matraman,2004,spotify:track:6mvnlHczAMdRctsgfbA4tY
Bahagia,R&B,Taylor swift,Lover,2019,spotify:track:1dGr1c8CrMLDpV6mPbImSI
Bahagia,Classical,Raim laode,Komang,2022,spotify:track:2AaaE0qvFWtyT8srKNfRhH
Bahagia,Pop,Hindia,Cincin,2023,spotify:track:7J0isBrUxhIYZVdrBOOlIh
Bahagia,Pop,GAC,Bahagia,2015,spotify:track:1FqA1hu2s1M9sNiZBy81T4
Bahagia,Pop,Awdella,Tertawan hati,2022,spotify:track:0DVCvSb8PhHchIP23JOP9q
Bahagia,Pop,reality club,alexandra,2019,spotify:track:7JFFMicliyVArHQgwEqVBS
Bahagia,Pop,Shawn Mendes,There's Nothing Holdin' Me Back,2017,spotify:track:7JJmb5XwzOO8jgpou264Ml
Bahagia,Classical,The Beatles,Hey Jude,2006,spotify:track:1eT2CjXwFXNx6oY5ydvzKU
Bahagia,Pop,Westlife ,My love ,2000,spotify:track:5p0ietGkLNEqx1Z7ijkw5g
Bahagia,Classical,The Smiths,There's a light that never goes out,1986,spotify:track:0WQiDwKJclirSYG9v5tayI
Bahagia,Pop,Hatsune Miku ,Miku,2016,spotify:track:0P8Oo3lrUScQJTNz2NVwSR
Bahagia,Metal,linkin park,numb,2003,spotify:track:2nLtzopw4rPReszdYBJU6h
Bahagia,Classical,Ramones,I wanna be sedated,1978,spotify:track:5NoQvINZLBV1wMYPdNmReL
Bahagia,Pop,Kobo Kanaeru,Mantra hujan,2022,spotify:track:5npIL1FmDdtzjLUpLUZ9w7
